         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1936    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
       27    0.004    0.000    0.022    0.001 __init__.py:904(_rc_params_in_file)
     1949    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap>:147(__enter__)
    30016    0.003    0.000    0.003    0.000 {method 'random' of '_random.Random' objects}
       12    0.003    0.000    0.040    0.003 artist.py:1314(_get_setters_and_targets)
      892    0.003    0.000    0.054    0.000 version.py:131(_legacy_cmpkey)
      109    0.003    0.000    0.019    0.000 {built-in method builtins.sum}
      530    0.003    0.000    0.006    0.000 colorbrewer.py:131(get_map)
      332    0.003    0.000    0.138    0.000 sre_compile.py:759(compile)
     1518    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     6034    0.003    0.000    0.004    0.000 inspect.py:2809(<genexpr>)
    10006    0.003    0.000    0.003    0.000 {built-in method math.log}
     2329    0.003    0.000    0.051    0.000 inspect.py:606(getdoc)
      352    0.003    0.000    0.031    0.000 _util.py:277(getargspec_no_self)
      140    0.003    0.000    0.009    0.000 deprecation.py:172(deprecate)
    12588    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      936    0.003    0.000    0.005    0.000 inspect.py:171(_has_code_flag)
     1653    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     1888    0.003    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
     3480    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:389(parent)
    30053    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
        2    0.003    0.001    0.010    0.005 utils.py:63(determine_order)
     3552    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      612    0.003    0.000    0.003    0.000 _inspect.py:67(getargs)
     1653    0.003    0.000    0.003    0.000 {built-in method _imp._fix_co_filename}
2871/1893    0.003    0.000    0.005    0.000 typing.py:720(__hash__)
   703/67    0.003    0.000    1.917    0.029 {built-in method builtins.__import__}
      882    0.003    0.000    0.009    0.000 copy.py:66(copy)
    10000    0.003    0.000    0.004    0.000 data_structure.py:41(number_of_arcs)
      446    0.003    0.000    0.045    0.000 __init__.py:2579(from_location)
    21092    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
       30    0.003    0.000    0.004    0.000 fromnumeric.py:73(_wrapreduction)
     5759    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
     5647    0.003    0.000    0.005    0.000 typing.py:646(_is_dunder)
    11360    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
    17868    0.003    0.000    0.003    0.000 {built-in method time.time}
     2466    0.003    0.000    0.022    0.000 utils.py:56(evenly_spaced_values)
     1330    0.003    0.000    0.068    0.000 version.py:24(parse)
     1655    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      888    0.003    0.000    0.059    0.000 __init__.py:2129(distributions_from_metadata)
     5759    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:863(__enter__)
      412    0.003    0.000    0.043    0.000 artist.py:1278(get_valid_values)
    10756    0.003    0.000    0.004    0.000 mathtext.py:2823(<genexpr>)
    18937    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
  487/317    0.003    0.000    0.022    0.000 typing.py:347(__getitem__)
     2146    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:342(__init__)
     1949    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:151(__exit__)
        4    0.003    0.001    0.005    0.001 decoder.py:343(raw_decode)
     5140    0.003    0.000    0.003    0.000 inspect.py:158(isfunction)
     1548    0.003    0.000    0.022    0.000 __init__.py:784(__setitem__)
     1656    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
      224    0.002    0.000    0.013    0.000 typing.py:677(__getitem__)
      115    0.002    0.000    0.042    0.000 _distn_infrastructure.py:622(_construct_argparser)
       30    0.002    0.000    0.008    0.000 function_base.py:26(linspace)
      332    0.002    0.000    0.010    0.000 sre_compile.py:536(_compile_info)
     1655    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
    11360    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     5324    0.002    0.000    0.003    0.000 enum.py:557(__new__)
      719    0.002    0.000    0.016    0.000 colors.py:157(to_rgba)
      500    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      433    0.002    0.000    0.003    0.000 sre_parse.py:432(_uniq)
     2466    0.002    0.000    0.002    0.000 utils.py:28(n_to_indices)
     1093    0.002    0.000    0.004    0.000 inspect.py:493(unwrap)
     2122    0.002    0.000    0.007    0.000 __init__.py:2071(dist_factory)
       12    0.002    0.000    0.005    0.000 generator.py:54(<genexpr>)
  2408/11    0.002    0.000    2.453    0.223 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        4    0.002    0.001    0.004    0.001 codata.py:1500(parse_constants_2002to2014)
     2431    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    20000    0.002    0.000    0.002    0.000 utils.py:65(<lambda>)
     4806    0.002    0.000    0.004    0.000 version.py:65(_compare)
      332    0.002    0.000    0.087    0.000 sre_parse.py:937(parse)
       13    0.002    0.000    0.002    0.000 mapping.py:63(<genexpr>)
     1137    0.002    0.000    0.009    0.000 {built-in method builtins.any}
        1    0.002    0.002    0.011    0.011 data_structure.py:7(__init__)
      958    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
       55    0.002    0.000    0.009    0.000 traitlets.py:224(getmembers)
       10    0.002    0.000    0.002    0.000 {built-in method gc.collect}
     6962    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
      286    0.002    0.000    0.009    0.000 overrides.py:72(verify_matching_signatures)
      101    0.002    0.000    0.002    0.000 enum.py:484(_find_data_type)
     5940    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
      401    0.002    0.000    0.006    0.000 inspect.py:1800(_signature_bound_method)
     5102    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     8031    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
       32    0.002    0.000    0.024    0.001 colors.py:782(from_list)
      723    0.002    0.000    0.004    0.000 enum.py:64(__setitem__)
    11080    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
      115    0.002    0.000    0.084    0.001 _distn_infrastructure.py:702(_construct_doc)
      261    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      316    0.002    0.000    0.053    0.000 overrides.py:166(decorator)
      790    0.002    0.000    0.002    0.000 typing.py:172(_collect_type_vars)
     4065    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
  383/293    0.002    0.000    0.010    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
